SIK_INVNR;KAT_NR;KUENSTLERIN;TITEL;DATIERUNG;TECHNIK;MASSE;STANDORT;ORT;STANDORT_URL;FILENAME;REPRO_NACHWEIS;JAHR;TECHNIKTHESAURUS;COPYRIGHT;SIKART_URL;FARBEN
1101110002.01/03;185.01;Eva Aeppli;Der Schrei;1969-1970;Seide, Kapok, Watte, Metallstab, Bleistift;44,5 cm hoch;Privatbesitz;;;1101110002D1;Foto: Rita Newman, Wien;1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13053734;'CCCCCC','333333','999966','000000','CC9966','996633','996666','FFFFCC','CCCC99','666633'
1101110002.02/03;185.02;Eva Aeppli;Ohne Titel;1969-1971;Seide, Kapok, Watte, Metallstab;44,5 cm hoch;Standort unbekannt;;;1101110002D2;Foto: Vera Mertz Mercer, Omaha;1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13053738;'CCCCCC','999999','333333','666666','000000','FFFFFF'
1101110003;264;Eva Aeppli;Ohne Titel;1990-91;Seide, Watte, Metallstab, Metallkonstruktion;65 x 34 x 46 cm;Privatbesitz (I);;;1101110003D1;Foto: Rita Newman, Wien;1990;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13053743;'CCCCCC','999999','333333','CCCC99','000000','999966','FFCCCC','CC9999','666633','996666'
1104110001;104;Eva Aeppli;Ohne Titel;1960;Öl auf Leinwand;65 x 54 cm;Galerie Michael Haas, Berlin, seit 6.2011;Berlin;;1104110001D1;Foto: Peter Schälchli, Zürich;1960;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13101397;'333333','000000','666633','666666','333300','999966','663333','996633','999999','000033'
1202130010;18;Eva Aeppli;Ohne Titel, Kohlezeichnung vierteilig;1956;Kohle auf Papier;Masse unbekannt;Standort unbekannt;;;1202130010D1;Foto: SIK-ISEA, Zürich;1956;Kohlezeichnung;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13292336;'FFFFFF','000000','666666','333333','CCCCCC','999999'
1206120001;;Eva Aeppli;Sainte Sophie;1990;Seide, Kapok, Watte, Metallstab, Metallsockel;92 cm hoch;Privatbesitz, seit 1990;;;1206120001DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1990;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13555468;'CCCCCC','CCCC99','FFFFFF','CC9999','FFCCCC','FFFFCC','999999','999966','996666','666633'
82009;180;Eva Aeppli;Hommage à Amnesty International;1968;13 Figuren: Seide, Kapok, Watte, Samt, Metallstäbe, 16 Stühle;250 x 370 cm;Centre Georges Pompidou, Musée national d'art moderne, Paris;Paris;www.centrepompidou.fr/;82009D1;Centre Georges Pompidou, Paris (Georges Méguerditchian);1968;Installation;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=9891112;'FFFFFF','000000','666666','003300','999999','CCCCCC','999966','333333','FFFFCC','996666'
88590.00/01;303;Eva Aeppli;Die Faulheit, Der Mond;1993-94;Seide, Kapok, Watte, Metallstab;33 cm hoch;Privatbesitz;;;88590DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1993;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13031073;'FFFFFF','CCCCCC','999999','FFCCCC','CCCC99','666633','999966','996666','CC9999','FFFFCC'
88590.01/01;303.01;Eva Aeppli;Die Faulheit, Mond;2000 (Gesamtauflage 19942007);Bronze, schwarz patiniert, 6/8, Susse Fondeur, Paris (Auflage 1/8 - 8/8 und E. A. I/IV, E. A. III/IV - E. A. IV/IV);32 x 21 x 23 cm;Garden of the Zodiac Old Market Omaha, seit 2000 (Exemplar 6/8);Omaha;;88590D1;Foto: Vera Mertz Mercer, Omaha;2000;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13035656;'000000','333333','669999','9999CC','336666','666666','003333','999999','336699','6699CC'
88591.00/01;304;Eva Aeppli;Der Neid, Merkur;1993-94;Seide, Kapok, Watte, Metallstab;35 cm hoch;Privatbesitz;;;88591DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1993;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13031074;'FFFFFF','CCCCCC','999966','996666','FFFFCC','CCCC99','FFCCCC','666633','CC9999','CC9966'
88591.01/01;304.01;Eva Aeppli;Der Neid, Merkur;2000 (Gesamtauflage 1994-2007);Bronze, schwarz patiniert, 6/8, Susse Fondeur, Paris (Auflage 1/8 - 8/8 und E. A. I/IV, E. A. III/IV, E. A. IV/IV) );34 x 20 x 24 cm;Garden of the Zodiac Old Market Omaha, seit 2000 (Exemplar 6/8);Omaha;;88591D1;Foto: Vera Mertz Mercer, Omaha;2000;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13035658;'000000','669999','333333','666666','666699','999999','669966','FFFFFF','336666','CCFFCC'
88592.00/01;305;Eva Aeppli;Die Unkeuschheit, Venus;1993-94;Seide, Kapok, Watte, Metallstab;32 cm hoch;Privatbesitz;;;88592DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1993;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13031075;'FFFFFF','CCCCCC','999966','666633','FFFFCC','CCCC99','996666','CC9999','FFCCCC','999999'
88592.01/01;305.01;Eva Aeppli;Die Unkeuschheit, Venus;2000 (Gesamtauflage 1993-2008);Bronze, schwarz patiniert, 6/8, Susse Fondeur, Paris (Auflage 1/8 - 8/8 und E. A. I/IV - E. A. IV/IV);31 x 20 x 23,5 cm;Garden of the Zodiac Old Market Omaha, seit 2000 (Exemplar 6/8);Omaha;;88592D1;Foto: Vera Mertz Mercer, Omaha;2000;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13035660;'336666','000000','666699','CCCCCC','666666','333333','669999','003300','999999','333300'
88593.00/01;306;Eva Aeppli;Der Hochmut, Sonne;1993-94;Seide, Kapok, Watte, Metallstab;36 cm hoch;Privatbesitz;;;88593DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1993;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13031076;'FFFFFF','CCCCCC','CCCC99','999966','FFFFCC','FFCCCC','996666','666633','CC9966','CC9999'
